60 150
0 3 1
0 36 1
0 46 1
1 10 -1
1 23 1
1 30 1
1 56 -1
2 11 1
2 20 1
2 23 1
2 39 1
3 4 1
3 9 -1
3 14 1
3 22 1
3 34 1
3 37 1
3 55 1
3 58 1
4 6 1
4 37 1
4 43 1
4 58 1
5 42 1
5 45 1
5 47 -1
5 49 -1
5 50 1
5 52 1
6 28 1
7 14 1
7 49 1
7 51 1
8 20 1
8 22 1
8 40 1
9 11 1
9 30 1
9 32 1
9 37 1
9 48 1
9 51 1
10 12 1
10 26 -1
10 32 1
11 18 1
11 43 1
11 44 1
11 45 1
11 46 1
11 53 1
12 17 1
12 24 1
12 30 -1
12 34 1
12 35 1
12 51 1
12 54 1
13 14 -1
13 22 -1
13 55 1
14 16 -1
14 31 1
14 35 1
14 41 1
14 54 1
15 21 1
15 36 1
16 19 1
16 23 1
16 40 1
16 44 1
16 51 1
17 18 1
17 24 1
17 48 1
17 52 1
17 59 1
18 35 1
18 43 1
18 44 -1
18 49 1
19 23 1
19 34 -1
19 42 -1
19 45 1
20 23 -1
20 32 1
21 34 1
21 55 1
21 56 1
22 33 -1
22 58 1
22 59 1
23 25 1
24 28 1
24 29 1
24 44 1
24 56 1
25 27 1
25 35 1
25 39 1
25 59 1
26 35 1
26 44 1
27 34 1
27 45 1
27 58 1
28 32 1
29 30 1
29 32 -1
29 38 1
29 41 -1
30 31 1
30 41 1
30 51 1
30 52 1
31 37 1
31 39 1
32 38 1
32 43 -1
33 38 1
33 46 1
33 49 -1
33 54 1
34 43 1
34 54 -1
35 40 1
36 39 1
36 50 1
36 51 1
37 43 1
37 55 1
38 39 1
38 48 1
40 59 1
42 44 1
42 58 1
43 44 1
44 54 1
44 59 1
47 48 -1
47 59 1
48 57 1
50 51 1
50 52 1
51 55 1
53 58 1
54 56 1
