1.00,-0.10,0.65,0.83,0.24,-0.20,0.25,0.15,-0.18,0.81,0.38,-0.18,
-0.10,1.00,-0.04,0.00,-0.09,0.76,0.16,0.18,0.95,-0.06,0.13,0.95,
0.65,-0.04,1.00,0.54,0.38,-0.12,0.08,0.47,-0.14,0.63,0.50,-0.14,
0.83,0.00,0.54,1.00,0.23,-0.13,0.26,0.14,-0.09,0.71,0.66,-0.09,
0.24,-0.09,0.38,0.23,1.00,-0.08,-0.05,-0.10,-0.06,0.20,-0.01,-0.06,
-0.20,0.76,-0.12,-0.13,-0.08,1.00,-0.04,-0.08,0.75,-0.15,-0.07,0.75,
0.25,0.16,0.08,0.26,-0.05,-0.04,1.00,0.27,-0.03,0.08,0.12,-0.03,
0.15,0.18,0.47,0.14,-0.10,-0.08,0.27,1.00,-0.06,0.17,0.53,-0.06,
-0.18,0.95,-0.14,-0.09,-0.06,0.75,-0.03,-0.06,1.00,-0.10,-0.05,1.00,
0.81,-0.06,0.63,0.71,0.20,-0.15,0.08,0.17,-0.10,1.00,0.40,-0.10,
0.38,0.13,0.50,0.66,-0.01,-0.07,0.12,0.53,-0.05,0.40,1.00,-0.05,
-0.18,0.95,-0.14,-0.09,-0.06,0.75,-0.03,-0.06,1.00,-0.10,-0.05,1.00,
