1,-0.04,0.33,0.72,0.39,0.02,0.1,0.03,0.02,0.5,0.07,0.04
-0.04,1,-0.01,-0.07,0.04,0.74,0.78,0.1,0.23,0.07,0.07,0.14
0.33,-0.01,1,0.19,0.8,0.48,0.04,0.53,0.09,0.65,0.07,0.12
0.72,-0.07,0.19,1,0.26,-0.04,0.04,-0.01,-0.04,0.42,0.05,0.05
0.39,0.04,0.8,0.26,1,0.37,0.16,0.35,0.21,0.54,0,0.08
0.02,0.74,0.48,-0.04,0.37,1,0.49,0.46,0.19,0.39,0.07,0.16
0.1,0.78,0.04,0.04,0.16,0.49,1,0.12,0.49,0.17,0.09,0.09
0.03,0.1,0.53,-0.01,0.35,0.46,0.12,1,0.24,0.5,0.04,0.12
0.02,0.23,0.09,-0.04,0.21,0.19,0.49,0.24,1,0.15,0.18,0.04
0.5,0.07,0.65,0.42,0.54,0.39,0.17,0.5,0.15,1,0.01,0.05
0.07,0.07,0.07,0.05,0,0.07,0.09,0.04,0.18,0.01,1,-0.02
0.04,0.14,0.12,0.05,0.08,0.16,0.09,0.12,0.04,0.05,-0.02,1
