1.00,-0.38,0.28,0.67,0.26,-0.27,0.50,-0.28,-0.19,0.52,0.37,0.27,0.24,-0.30,-0.20,
-0.38,1.00,-0.30,-0.19,-0.32,0.37,0.29,0.48,0.72,-0.09,-0.19,0.08,0.12,0.47,0.54,
0.28,-0.30,1.00,0.19,0.91,0.51,0.02,0.36,-0.21,0.14,0.53,0.39,0.42,-0.14,0.03,
0.67,-0.19,0.19,1.00,0.15,-0.19,0.71,-0.17,-0.09,0.37,0.38,0.47,0.23,-0.19,-0.14,
0.26,-0.32,0.91,0.15,1.00,0.50,-0.01,0.32,-0.20,0.11,0.48,0.42,0.46,-0.10,-0.01,
-0.27,0.37,0.51,-0.19,0.50,1.00,-0.04,0.88,0.19,0.01,0.17,0.35,0.45,0.19,0.51,
0.50,0.29,0.02,0.71,-0.01,-0.04,1.00,0.06,0.42,0.44,0.19,0.46,0.24,0.15,0.25,
-0.28,0.48,0.36,-0.17,0.32,0.88,0.06,1.00,0.25,-0.02,0.05,0.27,0.46,0.25,0.49,
-0.19,0.72,-0.21,-0.09,-0.20,0.19,0.42,0.25,1.00,0.09,-0.17,0.06,0.18,0.59,0.42,
0.52,-0.09,0.14,0.37,0.11,0.01,0.44,-0.02,0.09,1.00,0.15,0.28,0.20,-0.08,-0.10,
0.37,-0.19,0.53,0.38,0.48,0.17,0.19,0.05,-0.17,0.15,1.00,0.33,0.28,-0.22,-0.18,
0.27,0.08,0.39,0.47,0.42,0.35,0.46,0.27,0.06,0.28,0.33,1.00,0.48,-0.12,0.07,
0.24,0.12,0.42,0.23,0.46,0.45,0.24,0.46,0.18,0.20,0.28,0.48,1.00,0.01,0.06,
-0.30,0.47,-0.14,-0.19,-0.10,0.19,0.15,0.25,0.59,-0.08,-0.22,-0.12,0.01,1.00,0.41,
-0.20,0.54,0.03,-0.14,-0.01,0.51,0.25,0.49,0.42,-0.10,-0.18,0.07,0.06,0.41,1.00,
